material,tool_material,coolant,tool_diameter_mm,num_flutes,cutting_speed_m_min,feed_per_tooth_mm,axial_depth_mm,radial_depth_mm,rpm,table_feed_mm_min,mrr_cm3_min,torque_Nm,tool_life_min,machining_time_min,VB_mm
SKD11,cermet,dry,10,4,37.8,0.113,1.38,3.79,1205.0,547.0,2.85,1129.21,469.1,184.5,0.1119
S45C,carbide,dry,8,3,160.1,0.295,6.52,2.91,6371.0,5634.0,106.9,5341.13,4.8,1.0,0.0752
S45C,cermet,dry,8,2,248.6,0.068,1.23,1.59,9891.0,1349.0,2.64,84.92,4.7,2.7,0.1352
S45C,carbide,water_soluble,10,6,191.0,0.285,8.78,20.29,6081.0,10383.0,1848.65,96768.72,5.2,2.4,0.1445
A5052,cbn,mql,16,6,209.2,0.225,6.0,4.47,4161.0,5628.0,151.0,4619.86,38.7,19.7,0.1546
A5052,cermet,water_soluble,6,4,164.7,0.383,13.81,8.76,8738.0,13385.0,1619.73,23601.45,36.1,36.0,0.3142
FC250,cermet,water_soluble,12,4,195.5,0.232,3.4,8.53,5187.0,4806.0,139.25,5127.28,6.1,1.7,0.093
SKD11,cermet,dry,20,4,53.7,0.026,1.79,1.88,855.0,89.0,0.3,166.95,430.6,68.7,0.0631
S45C,cermet,mql,6,6,233.5,0.263,6.84,12.38,12387.0,19552.0,1657.13,42582.84,4.7,1.4,0.0831
S45C,cermet,oil,16,2,153.0,0.117,8.0,13.97,3043.0,712.0,79.51,8316.49,9.6,3.3,0.1025
SKD11,carbide,water_soluble,6,6,111.9,0.107,2.52,6.71,5935.0,3810.0,64.48,5187.82,5.0,3.2,0.1606
FC250,hss,mql,16,4,96.5,0.135,2.07,1.47,1920.0,1038.0,3.16,314.07,25.8,24.6,0.2749
FC250,cermet,dry,8,4,126.1,0.172,6.7,19.12,5019.0,3451.0,441.87,16814.24,13.6,8.8,0.1801
S45C,hss,water_soluble,8,2,86.8,0.201,9.12,6.92,3452.0,1388.0,87.54,8071.52,20.4,12.1,0.1672
A5052,cermet,water_soluble,6,3,316.0,0.316,8.29,21.31,16764.0,15887.0,2805.02,21303.88,6.6,6.8,0.3141
SKD11,carbide,water_soluble,16,2,49.7,0.072,0.32,0.63,988.0,141.0,0.03,14.0,511.7,35.0,0.0294
S45C,cbn,water_soluble,16,2,194.8,0.061,4.78,13.37,3876.0,475.0,30.32,2489.94,11.0,9.9,0.2594
SKD11,carbide,water_soluble,8,2,84.7,0.06,2.51,7.2,3371.0,406.0,7.33,1038.45,27.7,21.5,0.177
SKD11,cbn,mql,6,4,33.7,0.133,0.92,2.0,1785.0,952.0,1.75,468.07,516.3,28.6,0.0256
FC250,carbide,water_soluble,16,2,128.5,0.13,7.62,9.73,2557.0,666.0,49.42,3691.74,22.5,24.1,0.3859
SUS304,cbn,oil,16,3,61.6,0.056,1.11,2.3,1225.0,207.0,0.53,171.07,503.0,248.9,0.1584
SUS304,carbide,water_soluble,8,2,92.2,0.08,2.58,4.69,3669.0,588.0,7.12,772.47,51.0,34.7,0.1729
S45C,hss,dry,6,2,145.9,0.263,4.34,1.47,7738.0,4070.0,25.96,1068.04,5.4,4.2,0.1895
A5052,cbn,dry,8,4,352.7,0.392,1.93,5.22,14035.0,21991.0,221.8,2012.13,6.4,5.7,0.2423
SUS304,cermet,dry,12,4,93.1,0.054,4.48,4.98,2468.0,536.0,11.96,1927.19,31.6,24.8,0.2152
A5052,cbn,mql,8,6,427.1,0.318,1.97,5.08,16994.0,32444.0,324.31,2429.88,6.0,7.1,0.5405
FC250,carbide,water_soluble,16,6,196.6,0.107,9.79,15.85,3912.0,2514.0,389.99,19039.03,4.6,1.9,0.1365
A5052,hss,mql,16,3,158.2,0.39,7.15,6.56,3147.0,3685.0,172.74,6989.51,9.0,10.3,0.4615
FC250,hss,dry,6,2,145.4,0.072,6.27,3.27,7716.0,1112.0,22.8,564.43,5.5,5.3,0.3143
S45C,carbide,water_soluble,8,3,172.1,0.24,8.42,11.4,6847.0,4940.0,474.34,22051.03,4.8,1.9,0.1009
FC250,carbide,dry,16,4,179.7,0.186,2.07,3.83,3575.0,2663.0,21.1,1127.23,4.7,4.7,0.2905
SKD11,carbide,mql,16,4,109.2,0.101,1.79,3.53,2173.0,878.0,5.56,1222.45,5.6,1.2,0.0722
FC250,hss,mql,25,6,95.9,0.198,6.19,6.89,1221.0,1452.0,61.94,9689.96,12.8,11.7,0.2433
SKD11,carbide,dry,10,3,54.8,0.134,2.84,1.69,1745.0,702.0,3.38,925.1,147.9,86.3,0.1763
SUS304,cermet,oil,6,4,102.2,0.126,2.37,4.51,5424.0,2726.0,29.19,2141.49,30.4,31.7,0.3924
SUS304,cermet,mql,25,2,110.2,0.131,4.09,6.11,1403.0,366.0,9.16,2596.39,14.0,1.0,0.0352
S45C,cermet,dry,20,2,90.6,0.271,4.76,7.53,1442.0,781.0,28.01,6181.3,42.1,1.9,0.0207
SKD11,hss,mql,12,3,108.5,0.089,1.97,3.99,2878.0,764.0,6.01,997.13,4.8,4.5,0.2531
A5052,cbn,oil,6,6,386.9,0.423,4.77,0.7,20525.0,52069.0,173.38,1075.53,7.4,6.8,0.2183
SKD11,cermet,dry,25,2,102.8,0.135,2.16,1.12,1309.0,353.0,0.86,313.04,5.7,2.6,0.1379
A5052,cbn,dry,16,4,188.8,0.414,14.24,2.63,3757.0,6217.0,233.16,7901.75,21.3,8.3,0.0995
SUS304,hss,dry,25,4,120.7,0.039,0.64,1.08,1537.0,237.0,0.16,42.38,5.3,2.5,0.1448
A5052,hss,water_soluble,16,2,354.1,0.429,8.46,5.96,7045.0,6045.0,304.59,5504.45,4.7,2.9,0.1814
S45C,cbn,mql,12,6,227.4,0.163,8.3,14.04,6031.0,5916.0,689.72,36400.41,5.0,3.3,0.1635
SKD11,cermet,mql,8,6,79.7,0.088,0.6,1.51,3172.0,1668.0,1.51,227.15,63.0,22.2,0.093
SUS304,cbn,mql,16,3,77.2,0.098,0.78,0.85,1535.0,453.0,0.3,78.13,343.1,178.5,0.1611
SUS304,cermet,water_soluble,6,2,84.0,0.19,0.69,1.96,4458.0,1693.0,2.28,203.78,100.9,68.8,0.2023
FC250,cermet,oil,12,4,187.0,0.158,9.14,10.66,4961.0,3144.0,306.58,11802.68,5.0,4.4,0.2268
S45C,cermet,mql,10,2,223.5,0.219,1.82,1.76,7115.0,3116.0,10.0,447.47,4.7,2.3,0.1213
FC250,cbn,water_soluble,8,2,115.8,0.076,7.93,15.5,4606.0,703.0,86.4,3582.34,76.9,88.4,0.4837
S45C,cbn,mql,25,2,98.9,0.209,7.82,0.57,1259.0,525.0,2.33,588.16,77.9,52.1,0.1744
SUS304,cermet,water_soluble,16,4,115.7,0.11,4.44,3.26,2302.0,1016.0,14.71,2541.67,16.2,6.5,0.1026
FC250,hss,mql,20,2,117.9,0.211,4.25,9.24,1876.0,792.0,31.16,3172.57,7.7,3.4,0.1197
S45C,carbide,oil,16,2,212.9,0.186,1.45,3.15,4236.0,1576.0,7.18,539.61,5.4,5.6,0.3562
SUS304,cbn,water_soluble,16,4,123.6,0.086,4.56,4.01,2459.0,847.0,15.5,2508.34,22.6,2.1,0.0403
S45C,cermet,mql,10,3,211.6,0.243,5.45,15.98,6735.0,4914.0,428.08,20232.71,4.5,4.4,0.3047
SUS304,carbide,oil,25,6,93.6,0.086,1.91,4.36,1191.0,618.0,5.13,1714.59,51.7,35.9,0.1886
SKD11,cermet,water_soluble,6,4,117.7,0.13,0.27,0.77,6243.0,3249.0,0.66,50.78,9.8,5.9,0.159
FC250,cermet,mql,12,4,165.2,0.284,6.23,9.11,4382.0,4985.0,283.05,12335.11,6.8,5.2,0.2301
SKD11,cermet,dry,6,4,88.6,0.104,1.77,4.24,4700.0,1951.0,14.66,1489.38,14.4,11.1,0.2271
S45C,hss,mql,25,4,178.3,0.087,8.21,15.84,2270.0,788.0,102.37,14352.56,5.2,2.4,0.1227
FC250,hss,dry,8,2,167.0,0.185,1.08,2.38,6645.0,2455.0,6.29,180.84,5.4,3.7,0.169
S45C,hss,oil,16,3,170.0,0.11,5.26,10.88,3383.0,1121.0,64.09,6030.14,4.8,4.8,0.3044
SUS304,hss,water_soluble,16,4,95.9,0.125,4.36,6.56,1907.0,956.0,27.34,5703.37,9.4,2.4,0.0941
SUS304,cbn,mql,10,3,74.2,0.193,1.23,3.52,2362.0,1370.0,5.91,996.08,229.5,61.1,0.0832
SUS304,cbn,mql,10,2,57.3,0.136,4.91,3.21,1824.0,495.0,7.8,1701.69,540.8,283.2,0.1648
SKD11,cermet,oil,12,4,117.0,0.071,2.59,6.12,3104.0,882.0,14.01,2154.41,5.0,3.3,0.1917
FC250,cermet,oil,16,6,172.6,0.175,0.61,0.51,3434.0,3600.0,1.13,63.06,20.4,6.4,0.0988
SUS304,cermet,dry,6,2,134.8,0.154,0.75,1.25,7152.0,2201.0,2.06,114.4,6.1,5.2,0.191
S45C,hss,dry,25,2,248.3,0.289,5.2,8.24,3162.0,1826.0,78.23,7875.68,5.1,1.5,0.0764
A5052,carbide,mql,12,2,352.0,0.211,11.92,7.9,9337.0,3935.0,370.71,5055.3,4.9,4.2,0.2008
SUS304,hss,water_soluble,16,3,147.4,0.035,4.25,9.7,2933.0,305.0,12.57,1705.81,5.5,1.8,0.1055
S45C,carbide,dry,8,4,178.9,0.159,6.01,9.56,7117.0,4531.0,260.34,11643.29,4.8,2.7,0.1713
SUS304,cermet,water_soluble,12,2,91.9,0.163,2.54,4.04,2439.0,793.0,8.14,1327.86,48.9,11.7,0.0741
FC250,hss,water_soluble,25,6,123.7,0.124,8.86,12.49,1575.0,1170.0,129.43,15692.09,7.7,1.4,0.0684
SKD11,cermet,dry,12,4,88.9,0.04,2.65,4.52,2359.0,375.0,4.49,909.26,20.8,10.4,0.1411
S45C,carbide,water_soluble,25,4,150.8,0.181,1.02,2.99,1920.0,1387.0,4.22,700.32,15.8,6.5,0.1083
A5052,hss,mql,6,2,216.9,0.19,11.11,19.4,11506.0,4362.0,940.06,10402.19,5.3,4.2,0.235
SKD11,carbide,dry,20,6,103.5,0.044,1.24,3.4,1647.0,431.0,1.82,526.22,9.3,8.6,0.241
SKD11,cermet,water_soluble,8,4,64.3,0.074,2.31,0.63,2557.0,756.0,1.11,206.38,187.0,61.1,0.1022
S45C,carbide,dry,6,2,241.4,0.208,1.73,3.13,12805.0,5328.0,28.96,719.99,5.2,1.9,0.1228
SUS304,cermet,mql,25,2,121.4,0.108,4.63,9.8,1546.0,335.0,15.21,3915.39,10.3,4.1,0.1263
SKD11,carbide,water_soluble,6,6,49.2,0.106,0.64,0.67,2610.0,1668.0,0.71,130.7,517.1,131.2,0.0824
S45C,cbn,oil,10,4,107.7,0.247,7.48,8.93,3429.0,3381.0,225.77,20959.78,53.4,1.7,0.0154
SUS304,carbide,mql,6,6,73.5,0.15,4.14,7.01,3899.0,3505.0,101.8,10388.2,80.9,49.5,0.1765
SKD11,cermet,dry,6,6,94.3,0.144,0.83,2.26,5003.0,4317.0,8.15,778.27,11.3,8.8,0.1947
A5052,carbide,water_soluble,25,4,174.8,0.191,14.06,25.6,2226.0,1699.0,611.35,34971.93,31.1,10.0,0.0873
S45C,carbide,dry,6,2,128.9,0.127,3.85,7.37,6838.0,1733.0,49.21,2290.75,12.9,6.8,0.1277
A5052,carbide,oil,20,4,179.4,0.2,10.32,2.63,2855.0,2284.0,61.97,2763.72,32.5,38.3,0.5788
A5052,cermet,oil,6,2,360.4,0.496,5.22,14.76,19119.0,18953.0,1459.12,9717.03,4.5,3.0,0.2029
SUS304,hss,oil,6,2,61.3,0.099,3.77,8.11,3254.0,642.0,19.61,2398.69,87.3,42.2,0.1259
SUS304,hss,water_soluble,8,4,124.0,0.137,2.88,6.12,4934.0,2708.0,47.8,3854.31,5.1,1.9,0.1222
FC250,cbn,water_soluble,20,2,91.0,0.2,6.42,12.68,1449.0,579.0,47.14,6213.57,112.6,130.5,0.4616
SUS304,carbide,water_soluble,8,2,117.2,0.129,2.77,2.45,4663.0,1205.0,8.18,697.92,12.6,2.7,0.0699
SKD11,cbn,mql,8,3,96.3,0.135,0.77,1.56,3831.0,1549.0,1.85,230.96,28.5,14.6,0.1212
FC250,cbn,water_soluble,20,3,145.0,0.285,2.59,5.79,2308.0,1973.0,29.62,2450.67,29.1,8.3,0.0929
SUS304,hss,mql,12,4,93.4,0.046,3.82,10.52,2476.0,453.0,18.19,2922.87,13.7,7.7,0.1643
SUS304,cbn,dry,16,6,72.9,0.123,3.45,7.41,1451.0,1070.0,27.37,7507.71,140.8,138.4,0.2471
FC250,cbn,dry,10,2,109.8,0.104,3.07,2.66,3495.0,724.0,5.92,323.22,67.0,18.1,0.0876
SUS304,hss,dry,25,2,83.3,0.18,2.1,3.36,1061.0,383.0,2.71,1015.22,11.4,6.1,0.1469
A5052,hss,dry,6,4,174.0,0.217,13.85,17.74,9229.0,8011.0,1968.52,27158.16,4.8,2.7,0.1755
S45C,hss,dry,20,3,213.9,0.153,8.8,17.02,3404.0,1561.0,233.8,21864.98,5.0,3.7,0.1739
FC250,hss,oil,20,6,140.0,0.246,6.19,4.13,2228.0,3293.0,84.23,7219.19,4.9,3.3,0.1543
FC250,cbn,water_soluble,20,2,171.7,0.152,6.72,5.62,2733.0,833.0,31.48,2199.89,14.6,2.2,0.0511
SKD11,hss,mql,6,6,94.9,0.127,1.45,3.6,5032.0,3848.0,20.08,1905.49,5.4,3.4,0.1737
S45C,carbide,water_soluble,25,6,140.1,0.257,8.0,7.73,1784.0,2753.0,170.24,30369.39,9.7,7.7,0.2012
SUS304,cbn,dry,10,4,137.6,0.047,2.15,3.79,4381.0,831.0,6.75,613.29,10.5,11.0,0.3622
S45C,cermet,mql,25,2,158.5,0.154,0.63,0.91,2018.0,620.0,0.35,55.56,18.1,16.0,0.2172
SKD11,carbide,mql,20,3,30.2,0.113,2.25,3.72,480.0,163.0,1.37,1360.24,458.4,6.7,0.0059
SUS304,cbn,oil,8,6,62.1,0.138,3.04,1.52,2473.0,2046.0,9.44,1518.48,481.1,50.9,0.0428
A5052,hss,mql,6,3,412.3,0.307,14.8,12.73,21872.0,20168.0,3801.33,22128.25,5.4,4.7,0.2166
SUS304,carbide,water_soluble,25,2,100.0,0.1,4.39,8.5,1273.0,255.0,9.51,2972.41,27.7,17.0,0.1875
SUS304,carbide,mql,25,2,61.4,0.16,3.49,8.21,782.0,250.0,7.17,3648.79,231.1,169.9,0.2156
A5052,carbide,mql,6,3,346.2,0.333,10.49,7.97,18368.0,18339.0,1532.79,10624.81,5.2,3.8,0.2134
S45C,hss,dry,16,4,114.6,0.082,3.21,5.36,2280.0,746.0,12.84,1793.31,8.5,4.7,0.1516
A5052,carbide,oil,20,3,285.7,0.412,13.58,6.5,4548.0,5615.0,495.7,13878.35,5.1,3.8,0.2232
FC250,cermet,water_soluble,12,6,197.8,0.163,5.38,15.96,5247.0,5120.0,439.41,15994.3,5.9,1.3,0.0709
A5052,hss,oil,12,4,280.4,0.081,5.86,8.43,7437.0,2407.0,118.87,2034.91,5.2,4.7,0.201
A5052,hss,oil,25,6,444.8,0.218,9.66,3.22,5664.0,7407.0,230.28,5176.95,4.6,4.4,0.2827
SKD11,cermet,water_soluble,10,6,61.5,0.108,2.32,0.59,1958.0,1270.0,1.75,427.84,204.8,95.6,0.1379
FC250,hss,water_soluble,8,6,99.0,0.115,6.25,8.41,3941.0,2709.0,142.36,6899.21,20.4,13.7,0.1939
FC250,hss,water_soluble,16,4,166.0,0.118,2.42,2.62,3302.0,1555.0,9.88,571.22,5.4,5.7,0.3952
A5052,cbn,dry,8,3,176.9,0.363,6.05,15.01,7040.0,7673.0,696.66,12599.26,32.2,11.2,0.1097
A5052,hss,mql,8,3,372.7,0.196,4.41,2.93,14830.0,8722.0,112.62,966.84,4.7,3.8,0.1952
SKD11,cbn,mql,16,6,100.0,0.119,0.73,0.65,1990.0,1420.0,0.67,160.23,24.4,13.2,0.1282
SKD11,carbide,dry,20,2,51.9,0.092,0.31,0.79,826.0,153.0,0.04,21.43,479.8,266.5,0.1444
SKD11,cbn,dry,16,6,90.0,0.032,2.29,5.69,1791.0,347.0,4.52,1206.16,37.1,37.0,0.3329
SKD11,cbn,mql,25,6,102.6,0.132,2.99,2.55,1306.0,1031.0,7.86,2874.11,12.4,2.8,0.0641
A5052,carbide,mql,20,3,292.1,0.056,1.66,1.9,4649.0,783.0,2.48,67.85,22.9,25.2,0.4432
FC250,cermet,mql,16,2,180.5,0.205,5.85,11.15,3590.0,1471.0,96.02,5108.39,5.7,4.4,0.2328
A5052,cbn,oil,10,3,397.6,0.225,3.82,7.04,12656.0,8548.0,229.78,2311.78,7.8,6.2,0.2162
SKD11,cbn,water_soluble,6,3,118.3,0.104,2.45,5.4,6276.0,1966.0,26.06,1982.31,6.9,4.3,0.1776
SUS304,cermet,mql,6,2,142.5,0.137,0.56,1.25,7560.0,2077.0,1.44,76.04,7.7,5.6,0.2062
FC250,carbide,mql,20,3,104.5,0.061,6.01,8.44,1663.0,302.0,15.32,1759.2,56.4,46.7,0.1816
A5052,cbn,mql,8,3,443.4,0.411,14.43,16.31,17641.0,21765.0,5123.62,36980.79,5.4,4.2,0.2255
SUS304,cermet,oil,16,6,108.3,0.131,1.97,0.78,2155.0,1691.0,2.6,479.91,24.6,27.2,0.43
A5052,cbn,dry,25,2,452.0,0.449,3.35,7.55,5756.0,5166.0,130.63,2889.83,5.5,1.2,0.08
S45C,cermet,mql,25,6,224.1,0.066,3.69,1.21,2853.0,1123.0,5.0,557.44,5.3,5.6,0.3977
A5052,hss,mql,8,3,426.3,0.237,2.94,4.45,16962.0,12075.0,157.79,1184.49,5.4,1.4,0.0811
FC250,cbn,water_soluble,10,3,171.1,0.292,4.68,4.27,5447.0,4770.0,95.21,3338.58,13.4,4.3,0.0833
SUS304,cbn,dry,20,6,85.5,0.145,0.59,0.77,1361.0,1181.0,0.54,157.86,104.5,43.6,0.1329
SUS304,cbn,mql,8,6,120.7,0.135,1.03,1.74,4801.0,3887.0,7.0,580.29,25.6,10.3,0.0987
FC250,hss,mql,8,2,89.9,0.165,3.41,8.51,3576.0,1179.0,34.22,1827.51,22.4,12.9,0.1674
SUS304,cbn,dry,25,2,127.7,0.177,1.78,3.1,1626.0,574.0,3.16,772.35,10.0,10.8,0.3697
A5052,carbide,oil,12,4,314.8,0.345,8.61,17.91,8350.0,11531.0,1779.03,27125.94,4.6,4.6,0.2685
FC250,cbn,water_soluble,20,4,141.7,0.276,8.95,22.06,2255.0,2488.0,491.34,41621.06,20.0,12.8,0.1914
FC250,cermet,mql,12,2,191.9,0.235,3.15,1.68,5090.0,2396.0,12.7,476.53,5.7,2.3,0.1047
SUS304,cermet,oil,20,3,110.4,0.128,2.93,3.57,1757.0,675.0,7.05,1597.65,18.4,20.8,0.5088
FC250,carbide,mql,6,4,181.4,0.249,2.16,4.53,9624.0,9585.0,93.96,1864.53,5.8,6.2,0.3468
FC250,carbide,water_soluble,20,6,184.5,0.248,6.46,14.66,2936.0,4372.0,414.09,26935.78,5.0,2.7,0.1331
SUS304,cermet,oil,25,4,144.9,0.191,3.17,8.82,1844.0,1406.0,39.28,8473.23,5.1,1.0,0.0749
SKD11,cermet,mql,8,2,73.9,0.076,1.87,5.61,2939.0,446.0,4.68,761.13,69.4,40.1,0.166
SKD11,cermet,mql,12,4,88.2,0.049,2.08,3.18,2339.0,463.0,3.06,624.37,29.0,22.2,0.1882
S45C,cermet,water_soluble,6,6,222.7,0.09,0.74,1.27,11813.0,6391.0,5.98,161.06,6.2,5.7,0.2112
S45C,cermet,dry,10,4,236.8,0.224,6.3,4.18,7538.0,6751.0,177.78,7507.48,5.1,4.3,0.197
SUS304,carbide,water_soluble,16,2,106.6,0.188,2.12,0.89,2120.0,797.0,1.5,281.57,22.1,14.4,0.1894
A5052,cbn,mql,25,6,252.4,0.199,4.76,1.07,3213.0,3846.0,19.62,777.49,31.3,24.9,0.1896
FC250,hss,oil,10,6,193.7,0.271,7.52,6.62,6164.0,10031.0,499.59,15478.36,5.5,1.1,0.0714
S45C,cermet,mql,10,6,154.1,0.249,3.14,1.77,4904.0,7315.0,40.68,2640.68,9.2,4.5,0.1489
FC250,cermet,dry,12,4,124.7,0.282,1.09,0.76,3308.0,3733.0,3.06,176.94,21.4,24.9,0.4987
SUS304,cbn,oil,8,4,50.5,0.04,4.55,9.02,2009.0,323.0,13.27,2628.13,540.4,245.4,0.1384
S45C,cbn,mql,25,3,116.1,0.216,4.41,5.62,1478.0,957.0,23.7,5103.51,47.8,52.2,0.3805
S45C,hss,water_soluble,12,3,204.1,0.285,6.24,16.22,5413.0,4629.0,468.08,27527.03,4.7,3.2,0.1635
SKD11,cbn,oil,6,3,57.0,0.097,1.41,1.12,3024.0,884.0,1.4,220.4,504.7,270.8,0.141
FC250,cbn,oil,8,3,92.7,0.268,5.47,11.63,3689.0,2968.0,188.86,9778.95,95.0,2.2,0.0116
SKD11,cermet,water_soluble,20,2,38.9,0.03,1.21,0.79,619.0,37.0,0.04,27.26,472.6,268.8,0.1687
FC250,cbn,oil,25,6,183.6,0.106,8.79,20.93,2338.0,1484.0,273.15,22314.16,12.4,12.3,0.3406
S45C,cbn,mql,6,6,212.9,0.11,1.87,1.09,11297.0,7457.0,15.23,429.11,8.0,2.9,0.1217
S45C,carbide,water_soluble,20,4,178.2,0.14,8.32,20.58,2836.0,1586.0,271.73,30497.28,4.9,2.7,0.1692
S45C,hss,oil,10,3,106.5,0.259,3.9,10.74,3391.0,2631.0,110.28,10352.52,8.6,2.3,0.0865
SKD11,cbn,water_soluble,20,3,71.3,0.059,2.81,1.44,1135.0,202.0,0.82,344.88,183.2,117.3,0.1482
SKD11,hss,dry,6,3,52.5,0.105,1.93,2.26,2784.0,877.0,3.84,657.8,68.6,19.2,0.0806
A5052,cbn,mql,10,6,165.4,0.362,9.9,7.26,5265.0,11436.0,821.79,19872.23,57.8,4.2,0.0309
SKD11,carbide,mql,8,6,53.0,0.034,1.19,1.77,2108.0,427.0,0.9,204.72,515.8,22.0,0.0186
FC250,cermet,mql,16,3,83.5,0.277,1.98,1.7,1661.0,1379.0,4.66,535.24,124.1,35.2,0.0884
A5052,cbn,water_soluble,25,3,259.6,0.426,1.23,1.98,3305.0,4228.0,10.28,395.97,32.0,11.7,0.0943
SUS304,hss,water_soluble,25,2,128.1,0.098,2.39,6.45,1631.0,319.0,4.91,1196.75,4.5,5.2,0.4393
FC250,cermet,water_soluble,6,2,189.8,0.113,8.52,12.63,10070.0,2272.0,244.43,4635.97,7.2,2.6,0.1206
A5052,hss,mql,10,2,399.5,0.364,5.2,4.03,12716.0,9245.0,194.04,1942.88,5.4,5.5,0.3113
S45C,cermet,oil,12,6,213.2,0.116,9.91,1.25,5654.0,3952.0,49.06,2762.11,5.2,4.6,0.2009
S45C,carbide,mql,25,3,91.2,0.272,4.49,6.94,1161.0,946.0,29.49,8087.56,53.5,9.2,0.0634
S45C,hss,oil,6,3,203.1,0.223,3.74,9.12,10776.0,7196.0,245.07,7239.18,4.7,2.5,0.1309
A5052,cbn,water_soluble,8,6,442.2,0.489,2.46,2.1,17596.0,51585.0,266.36,1927.39,5.0,5.6,0.4119
S45C,cbn,oil,10,4,225.9,0.233,9.49,22.37,7189.0,6694.0,1421.85,62954.63,4.7,4.3,0.2234
FC250,cbn,oil,25,4,145.3,0.119,7.24,6.26,1850.0,879.0,39.85,4113.97,28.1,19.0,0.1564
FC250,carbide,oil,16,3,99.6,0.105,3.52,3.11,1981.0,627.0,6.85,660.13,71.4,39.1,0.1432
FC250,carbide,oil,16,2,113.6,0.133,6.8,17.82,2259.0,601.0,72.78,6151.72,32.1,19.2,0.1717
FC250,cbn,water_soluble,12,2,148.6,0.251,7.72,3.99,3943.0,1982.0,61.04,2956.59,19.3,9.0,0.1278
SUS304,carbide,oil,20,3,53.5,0.097,3.58,2.48,851.0,247.0,2.19,1022.58,476.0,265.9,0.1713
FC250,carbide,mql,12,2,93.3,0.212,8.81,21.01,2476.0,1050.0,194.38,14994.6,41.5,6.2,0.0487
A5052,carbide,oil,8,4,384.9,0.172,1.68,5.0,15316.0,10525.0,88.29,733.96,7.3,8.6,0.5744
A5052,carbide,water_soluble,12,3,453.1,0.18,7.28,13.72,12020.0,6500.0,649.33,6878.28,4.9,2.6,0.1497
SKD11,cbn,mql,25,3,55.1,0.037,0.48,1.06,702.0,77.0,0.04,26.86,475.4,141.8,0.0915
S45C,cbn,dry,10,3,212.8,0.248,6.22,9.8,6772.0,5036.0,307.03,14431.08,4.8,1.4,0.1053
A5052,cermet,mql,12,3,386.8,0.317,9.25,19.09,10259.0,9769.0,1724.29,21399.25,4.9,2.4,0.1449
SKD11,hss,dry,25,2,114.9,0.062,2.05,4.19,1463.0,182.0,1.56,509.33,5.2,2.1,0.1042
SUS304,cbn,mql,6,6,123.4,0.088,2.55,7.14,6547.0,3458.0,62.93,3824.04,18.2,14.0,0.2211
FC250,cbn,dry,8,4,173.3,0.218,7.38,11.16,6895.0,6018.0,495.73,13731.01,6.6,3.8,0.1696
SKD11,cermet,dry,8,6,80.8,0.085,0.39,0.56,3213.0,1639.0,0.36,53.92,43.4,47.9,0.4044
FC250,carbide,dry,6,2,167.2,0.246,9.95,18.27,8871.0,4368.0,793.62,17085.32,5.2,5.9,0.4493
SKD11,cbn,dry,25,3,49.6,0.106,1.97,3.72,632.0,201.0,1.48,1115.12,522.9,97.7,0.0687
SKD11,cbn,oil,8,2,42.1,0.032,2.53,7.01,1676.0,108.0,1.92,545.96,460.3,121.2,0.0892
A5052,hss,mql,20,3,461.9,0.056,5.18,8.84,7352.0,1238.0,56.67,981.41,4.6,4.7,0.355
FC250,cbn,water_soluble,16,2,141.7,0.071,5.71,6.82,2820.0,402.0,15.67,1061.45,45.9,14.0,0.082
FC250,cermet,mql,20,3,89.7,0.257,9.78,12.17,1428.0,1103.0,131.28,17557.14,47.5,50.9,0.3722
SUS304,carbide,mql,10,2,81.8,0.113,4.34,7.92,2605.0,589.0,20.25,3092.78,59.9,10.1,0.0626
FC250,cermet,water_soluble,10,2,110.8,0.251,4.55,13.57,3527.0,1771.0,109.24,5915.27,38.6,31.5,0.2275
FC250,cermet,mql,8,3,154.1,0.262,2.36,1.33,6130.0,4827.0,15.15,472.13,12.5,7.7,0.1709
FC250,carbide,dry,25,3,158.2,0.258,9.77,14.16,2015.0,1560.0,215.69,20447.09,4.5,2.3,0.1599
SUS304,cbn,mql,6,4,118.9,0.073,1.75,3.41,6309.0,1840.0,10.95,690.6,33.7,24.0,0.2024
A5052,cbn,water_soluble,10,2,498.8,0.365,11.67,10.45,15877.0,11597.0,1414.46,11342.91,5.0,4.7,0.281
SKD11,carbide,water_soluble,6,4,93.2,0.063,2.09,2.79,4944.0,1247.0,7.27,702.26,20.1,10.5,0.1638
SKD11,cbn,oil,10,2,82.6,0.146,1.26,0.7,2630.0,768.0,0.68,123.32,60.5,12.6,0.0738
S45C,cbn,dry,6,4,99.4,0.285,8.79,12.2,5274.0,6017.0,645.08,38937.11,31.3,23.4,0.2049
FC250,hss,oil,6,2,134.6,0.154,7.44,3.45,7143.0,2196.0,56.43,1508.73,4.9,2.3,0.1323
SUS304,hss,mql,6,6,83.8,0.052,2.14,1.46,4446.0,1375.0,4.31,385.73,30.6,3.1,0.046
SUS304,carbide,water_soluble,10,4,107.7,0.089,4.07,6.83,3428.0,1217.0,33.87,3931.64,20.6,22.6,0.392
FC250,carbide,dry,25,6,147.0,0.267,4.03,7.62,1872.0,3004.0,92.24,9412.32,6.1,4.0,0.1751
A5052,hss,dry,16,2,470.5,0.212,4.95,3.3,9361.0,3967.0,64.85,882.12,4.8,5.7,0.5198
